symbol,id
BCN,0
BTC,1
BTS,2
DASH,3
DGB,4
DOGE,5
GAME,6
IOC,7
LTC,8
MAID,9
MONA,10
NAV,11
NXT,12
SYS,13
UBQ,14
VTC,15
XCP,16
XLM,17
XMR,18
XRP,19
