cluster_id,cryptos
0,"['BTC', 'ETH', 'XMR', 'DASH', 'LTC', 'BTS', 'DGB', 'VTC']"
1,['DOGE']
2,"['IOC', 'NAV', 'SYS']"
3,"['MAID', 'XLM', 'XRP']"
4,['MONA']
5,['XCP']
