Date,Open,High,Low,Close,Adj Close
2017-07-14,0.5347310000000001,0.775406,0.500232,0.58248,0.58248
2017-07-15,0.586446,0.6521560000000001,0.433351,0.433351,0.433351
2017-07-16,0.4310810000000001,0.494342,0.319695,0.384906,0.384906
2017-07-17,0.381684,0.598633,0.379345,0.5827859999999999,0.5827859999999999
2017-07-18,0.574224,0.894874,0.565539,0.7598189999999999,0.7598189999999999
2017-07-19,0.7592899999999999,0.797288,0.568905,0.583911,0.583911
2017-07-20,0.596119,0.7176319999999999,0.596119,0.659447,0.659447
2017-07-21,0.669754,0.786582,0.632858,0.7530319999999999,0.7530319999999999
2017-07-22,0.742038,0.886832,0.739422,0.878662,0.878662
2017-07-23,0.878973,1.59429,0.8507540000000001,1.52647,1.52647
2017-07-24,1.51132,1.6117,1.30607,1.51694,1.51694
2017-07-25,1.53254,1.54693,1.11887,1.23285,1.23285
2017-07-26,1.2319,1.28965,1.09619,1.20579,1.20579
2017-07-27,1.20756,1.41198,1.20333,1.38232,1.38232
2017-07-28,1.37801,1.38561,1.12403,1.19116,1.19116
2017-07-29,1.18977,1.28749,1.10965,1.28193,1.28193
2017-07-30,1.26786,1.30533,1.18687,1.20508,1.20508
2017-07-31,1.2034,1.25629,1.16553,1.22539,1.22539
2017-08-01,1.22483,1.37492,1.17653,1.33343,1.33343
2017-08-02,1.33968,1.39073,1.29241,1.37869,1.37869
2017-08-03,1.37855,2.02622,1.36504,1.96282,1.96282
2017-08-04,1.953,2.78657,1.94267,2.76472,2.76472
2017-08-05,2.78815,3.73496,2.73645,3.61231,3.61231
2017-08-06,3.62299,3.62299,2.59417,2.75348,2.75348
2017-08-07,2.69691,3.24614,2.62887,3.1543400000000004,3.1543400000000004
2017-08-08,3.15084,3.76143,3.0714900000000003,3.61093,3.61093
2017-08-09,3.61543,3.683030000000001,3.25998,3.44855,3.44855
2017-08-10,3.40938,6.36365,3.38084,5.92513,5.92513
2017-08-11,5.96082,7.81434,5.4077,7.230169999999998,7.230169999999998
2017-08-12,7.1993100000000005,7.39502,5.82934,6.19111,6.19111
2017-08-13,6.18207,7.53412,5.36374,6.94335,6.94335
2017-08-14,6.884239999999999,7.383539999999999,6.25041,7.0153300000000005,7.0153300000000005
2017-08-15,6.942239999999999,7.04856,6.15503,6.69262,6.69262
