Date,Close
2017-06-05,5.784669999999998
2017-06-06,5.97702
2017-06-07,5.5646900000000015
2017-06-08,5.94453
2017-06-09,5.4892
2017-06-10,5.21387
2017-06-11,5.12368
2017-06-12,4.7142
2017-06-13,5.30884
2017-06-14,4.8417
2017-06-15,4.78806
2017-06-16,4.81877
2017-06-17,4.97606
2017-06-18,5.02572
2017-06-19,5.75655
2017-06-20,5.52137
2017-06-21,5.49076
2017-06-22,5.42244
2017-06-23,5.43767
2017-06-24,5.66204
2017-06-25,5.449330000000002
2017-06-26,4.33447
2017-06-27,4.0809
2017-06-28,4.07273
2017-06-29,3.91781
2017-06-30,3.61782
2017-07-01,3.32042
2017-07-02,2.97742
2017-07-03,3.0426900000000003
2017-07-04,3.05283
2017-07-05,2.8585
2017-07-06,2.79997
2017-07-07,2.42986
2017-07-08,2.4182200000000003
2017-07-09,2.19493
2017-07-10,1.81594
2017-07-11,1.4841
2017-07-12,1.9002
2017-07-13,1.76552
2017-07-14,1.97029
2017-07-15,2.06109
2017-07-16,2.35409
2017-07-17,2.8419
2017-07-18,2.84314
2017-07-19,2.48881
2017-07-20,2.66738
2017-07-21,2.85337
2017-07-22,2.8075900000000003
2017-07-23,2.72371
2017-07-24,2.59391
2017-07-25,2.37779
2017-07-26,2.3896900000000003
2017-07-27,2.40403
2017-07-28,2.32562
2017-07-29,2.32787
2017-07-30,2.30425
2017-07-31,2.27301
2017-08-01,2.41323
2017-08-02,2.41441
2017-08-03,2.43367
2017-08-04,2.5806400000000003
2017-08-05,2.6788
2017-08-06,2.79968
2017-08-07,3.78429
2017-08-08,3.7807
2017-08-09,3.59994
2017-08-10,4.09915
2017-08-11,3.70473
2017-08-12,3.77402
2017-08-13,3.87104
2017-08-14,3.58502
2017-08-15,3.73252
2017-08-16,3.59019
2017-08-17,3.55641
2017-08-18,3.40562
2017-08-19,3.44449
2017-08-20,3.2950800000000005
2017-08-21,2.76725
2017-08-22,3.10971
2017-08-23,3.14164
2017-08-24,3.0322400000000003
2017-08-25,3.04673
2017-08-26,3.03358
2017-08-27,3.02572
2017-08-28,3.07675
2017-08-29,3.4874400000000003
2017-08-30,3.12052
2017-08-31,3.40386
2017-09-01,3.42789
2017-09-02,2.96872
2017-09-03,2.74772
2017-09-04,1.65264
2017-09-05,0.964588
2017-09-06,1.15614
2017-09-07,1.01366
2017-09-08,0.463077
2017-09-09,0.340855
2017-09-10,0.615296
2017-09-11,0.6761739999999999
2017-09-12,0.621517
2017-09-13,1.05041
2017-09-14,0.6148560000000001
2017-09-15,0.537521
2017-09-16,0.611512
2017-09-17,0.5860270000000001
2017-09-18,0.506526
2017-09-19,0.454242
2017-09-20,2.78309
2017-09-21,1.49634
2017-09-22,1.6709900000000002
2017-09-23,1.6232
2017-09-24,1.39127
2017-09-25,1.26584
2017-09-26,1.17291
2017-09-27,1.00075
2017-09-28,1.18653
2017-09-29,1.12006
2017-09-30,1.3517
2017-10-01,1.38334
2017-10-02,1.3320299999999998
2017-10-03,1.17348
2017-10-04,1.1433
2017-10-05,1.26118
2017-10-06,1.22738
2017-10-07,1.18781
2017-10-08,1.3951
2017-10-09,1.29904
2017-10-10,1.44734
2017-10-11,2.6905
2017-10-12,2.93439
2017-10-13,3.00143
2017-10-14,3.6715
2017-10-15,4.67741
2017-10-16,4.74449
2017-10-17,4.6296599999999986
2017-10-18,5.17571
2017-10-19,5.69688
2017-10-20,4.9465
2017-10-21,4.9827900000000005
2017-10-22,5.058680000000002
2017-10-23,4.66151
2017-10-24,5.00839
2017-10-25,4.60688
2017-10-26,4.34232
2017-10-27,4.00619
2017-10-28,4.09345
2017-10-29,3.95444
2017-10-30,4.04614
2017-10-31,4.19139
2017-11-01,3.4233
2017-11-02,3.1398900000000003
2017-11-03,3.39048
2017-11-04,3.14228
2017-11-05,2.97203
2017-11-06,3.13755
2017-11-07,3.03424
2017-11-08,3.65535
2017-11-09,3.81668
2017-11-10,3.24096
2017-11-11,3.10475
2017-11-12,2.9019
2017-11-13,3.06848
2017-11-14,2.99521
2017-11-15,3.4325300000000003
2017-11-16,3.08618
2017-11-17,3.05636
2017-11-18,3.1817
2017-11-19,3.24245
2017-11-20,3.17533
2017-11-21,3.50945
2017-11-22,3.721330000000001
2017-11-23,3.66521
2017-11-24,3.64216
2017-11-25,3.81432
2017-11-26,3.7867
2017-11-27,3.69837
2017-11-28,3.67342
2017-11-29,2.72059
2017-11-30,2.67044
2017-12-01,2.9831
2017-12-02,2.86397
2017-12-03,2.84188
