,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,0.96,0.95,0.77,0.74,0.77,1.0,0.71,1.0,0.95,0.95,0.8099999999999999,0.95,1.0,0.77,0.77,0.77
1,0.96,0.0,0.35,0.6199999999999999,0.73,0.69,0.69,0.75,0.46999999999999986,0.5,0.31999999999999984,0.5700000000000001,0.5,0.3899999999999999,0.8,0.72,0.71
2,0.95,0.35,0.0,0.91,0.9299999999999999,0.6099999999999999,0.6599999999999999,0.6199999999999999,0.3799999999999999,0.35,0.1299999999999999,0.4099999999999999,0.35,0.2899999999999999,0.91,0.6099999999999999,0.91
3,0.77,0.6199999999999999,0.91,0.0,0.1299999999999999,0.6799999999999999,0.98,0.7,0.95,0.9299999999999999,0.91,0.69,0.9299999999999999,0.97,0.18999999999999995,0.6799999999999999,0.09999999999999998
4,0.74,0.73,0.9299999999999999,0.1299999999999999,0.0,0.71,1.0,0.71,1.0,0.95,0.9299999999999999,0.72,0.95,1.0,0.16999999999999993,0.71,0.029999999999999805
5,0.77,0.69,0.6099999999999999,0.6799999999999999,0.71,0.0,0.91,0.14,0.77,0.72,0.6199999999999999,0.2599999999999999,0.72,0.73,0.6799999999999999,0.029999999999999805,0.6799999999999999
6,1.0,0.69,0.6599999999999999,0.98,1.0,0.91,0.0,0.91,0.51,0.7,0.6299999999999999,0.84,0.7,0.53,0.98,0.9,0.98
7,0.71,0.75,0.6199999999999999,0.7,0.71,0.14,0.91,0.0,0.77,0.71,0.69,0.3699999999999999,0.71,0.8,0.7,0.10999999999999988,0.7
8,1.0,0.46999999999999986,0.3799999999999999,0.95,1.0,0.77,0.51,0.77,0.0,0.53,0.4099999999999999,0.69,0.53,0.3799999999999999,0.98,0.76,0.98
9,0.95,0.5,0.35,0.9299999999999999,0.95,0.72,0.7,0.71,0.53,0.0,0.44999999999999996,0.71,0.0,0.5199999999999999,0.9299999999999999,0.71,0.9299999999999999
10,0.95,0.31999999999999984,0.1299999999999999,0.91,0.9299999999999999,0.6199999999999999,0.6299999999999999,0.69,0.4099999999999999,0.44999999999999996,0.0,0.3599999999999999,0.44999999999999996,0.15999999999999992,0.91,0.6499999999999999,0.91
11,0.8099999999999999,0.5700000000000001,0.4099999999999999,0.69,0.72,0.2599999999999999,0.84,0.3699999999999999,0.69,0.71,0.3599999999999999,0.0,0.71,0.46999999999999986,0.69,0.2899999999999999,0.69
12,0.95,0.5,0.35,0.9299999999999999,0.95,0.72,0.7,0.71,0.53,0.0,0.44999999999999996,0.71,0.0,0.5199999999999999,0.9299999999999999,0.71,0.9299999999999999
13,1.0,0.3899999999999999,0.2899999999999999,0.97,1.0,0.73,0.53,0.8,0.3799999999999999,0.5199999999999999,0.15999999999999992,0.46999999999999986,0.5199999999999999,0.0,0.98,0.76,0.98
14,0.77,0.8,0.91,0.18999999999999995,0.16999999999999993,0.6799999999999999,0.98,0.7,0.98,0.9299999999999999,0.91,0.69,0.9299999999999999,0.98,0.0,0.6799999999999999,0.14
15,0.77,0.72,0.6099999999999999,0.6799999999999999,0.71,0.029999999999999805,0.9,0.10999999999999988,0.76,0.71,0.6499999999999999,0.2899999999999999,0.71,0.76,0.6799999999999999,0.0,0.6799999999999999
16,0.77,0.71,0.91,0.09999999999999998,0.029999999999999805,0.6799999999999999,0.98,0.7,0.98,0.9299999999999999,0.91,0.69,0.9299999999999999,0.98,0.14,0.6799999999999999,0.0
