Date,Open,High,Low,Close,Adj_Close,Volume,VWAP,SMA_14,SMA_21,SMA_5,SMA_12,SMA_26,SMA_13,SMA_30,SMA_20,SMA_50,SMA_100,SMA_200,EMA_14,EMA_21,EMA_5,EMA_12,EMA_26,EMA_13,EMA_30,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,RSI_21,RSI_100,RSI_200,MACD_12_26_9,MACDH_12_26_9,MACDS_12_26_9,BBL_20,BBM_20,BBU_20,MOM,STOCHF_14,STOCHF_3,STOCH_5,STOCH_3,CMO,DPO,UO,lag_1,pct_change,trend
2014-09-17,0.02480268485595641,0.02303943865424725,0.027959919568547487,0.02654197431186057,0.02654197431186057,0.0001043487054376989,0.05644181773058893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01259675156646289,0.0,0.0,,0
2014-09-18,0.02626980646227315,0.022828004539573774,0.025011796456164505,0.02279209519589961,0.02279209519589961,5.400724942247953e-05,0.054811200019782604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022672415180349033,0.0,0.02654197431186057,-14.128109205068762,1
2014-09-19,0.02243223026090578,0.02055290757421243,0.024374078758714463,0.02211716868215032,0.02211716868215032,3.033760061180828e-05,0.05385420786255992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015536761685567512,0.0,0.02279209519589961,-2.9612306720740333,1
2014-09-20,0.021926091705682584,0.020416570360946816,0.02445171723924459,0.02257967663800684,0.02257967663800684,0.00018079313864599497,0.05154182074224695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010402957577013715,0.007177168718629703,0.0018157166852337187,0.0009581186299939461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003463568390346897,0.0,0.02211716868215032,2.0911716255516577,2
2014-09-21,0.022164051537550026,0.0208471905285036,0.024569747862805785,0.02361073315326297,0.02361073315326297,0.00011085864890231609,0.051257158474151736,0.0,0.0,0.02700399969284339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02813749243931553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448985379923445,0.023604661903935724,0.005887458981621497,0.003100407602024837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3690767973856201,0.0,0.0,0.0,0.0,0.0018743839407679168,0.0,0.02257967663800684,4.566303281423534,2
2014-09-22,0.02342945368002037,0.020860853319598454,0.02492144892128504,0.023052754919137008,0.023052754919137008,0.0001801927069672196,0.05095351821146992,0.0,0.0,0.026203068381302742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02794791276931996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03406366430127355,0.023419262141042303,0.005878499205255064,0.0030980746873959172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698295210352896,0.0,0.0,0.0,0.0,-0.004697670029703804,0.0,0.02361073315326297,-2.3632397626282553,1
2014-09-23,0.02285629832116439,0.02138314015648663,0.02511019725320593,0.024451186462786833,0.024451186462786833,0.00032894175496699205,0.05120544394228886,0.0,0.0,0.026583903747265908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028378987018784337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06915379088526398,0.04686206271613251,0.011466294445133243,0.0060210060849580326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800934336880352,0.5111653330996163,0.0,0.0,0.0,0.0026865414322332914,0.0,0.023052754919137008,6.06622309808591,2
2014-09-24,0.02460698686864275,0.021388663412461147,0.026321835711916743,0.0236514401505934,0.0236514401505934,5.245876772458515e-05,0.051241423207479764,0.0,0.0,0.02693608740818507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028347564731877755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06781919810128292,0.046301552391894006,0.011440935059126996,0.006014466924692212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6061110900761046,0.5909307925810563,0.0,0.0,0.0,0.0015261005886139693,0.0,0.024451186462786833,-3.2707873436350177,1
2014-09-25,0.023421202026994038,0.020370252530143,0.02495240364772007,0.023197141064364282,0.023197141064364282,0.0001572498965045396,0.05105996050352244,0.0,0.0,0.027077823004938738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02814551801918844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06703184992547555,0.0459743093413893,0.011426436079825878,0.0060107401207557575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330074981352805,0.6458425362485799,0.5247018544538571,0.0,0.0,0.0012397678544136287,0.0,0.0236514401505934,-1.9208094024571354,1
2014-09-26,0.022995572843189902,0.02014001996531066,0.02507433507014096,0.02282807928193756,0.02282807928193756,0.00020825498753314223,0.050825784428083186,0.0,0.0,0.026898169070608824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02786370007525989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06636127190947266,0.04569942738301312,0.011414567085024346,0.006007700838907722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21840550313078708,0.4231750006142273,0.4937973000153888,0.0,0.0,0.0003486610998244152,0.0,0.023197141064364282,-1.5909796013340527,1
