symbol,id
ADA,0
ADX,1
AE,2
ANT,3
ARDR,4
ARK,5
ATB,6
BAT,7
BCH,8
BCN,9
BLOCK,10
BNB,11
BNT,12
BTC,13
BTG,14
BTS,15
CVC,16
DASH,17
DCN,18
DCR,19
DGB,20
DGD,21
DNT,22
DOGE,23
EDG,24
EOS,25
ETC,26
ETH,27
ETP,28
FCT,29
FRST,30
FUN,31
GAME,32
GAS,33
GBYTE,34
GNO,35
GNT,36
HC,37
ICX,38
IOC,39
KIN,40
KMD,41
KNC,42
LINK,43
LRC,44
LSK,45
LTC,46
MAID,47
MCO,48
MGO,49
MIOTA,50
MLN,51
MONA,52
MTL,53
NANO,54
NAV,55
NEBL,56
NEO,57
NLC2,58
NXS,59
NXT,60
OMG,61
PART,62
PAY,63
PIVX,64
PPT,65
QASH,66
QRL,67
QTUM,68
REP,69
RLC,70
SALT,71
SC,72
SMART,73
SNGLS,74
SNM,75
SNT,76
STEEM,77
STORJ,78
STRAT,79
SUB,80
SYS,81
TAAS,82
TRX,83
UBQ,84
USDT,85
VERI,86
VTC,87
WAVES,88
WINGS,89
WTC,90
XCP,91
XEM,92
XLM,93
XMR,94
XRP,95
XUC,96
XVG,97
XZC,98
ZEC,99
ZEN,100
ZRX,101
