Date,Open,High,Low,Close,Adj Close,Volume
2017-10-25,2.16667,2.33209,2.0863099999999997,2.29248,2.29248,304953
2017-10-26,2.29048,2.58717,1.90335,2.27223,2.27223,296453
2017-10-27,2.27215,2.49027,2.1027099999999996,2.25894,2.25894,205865
2017-10-28,2.2633799999999997,2.39395,2.10233,2.10233,2.10233,185466
2017-10-29,2.10035,2.33012,2.09945,2.19579,2.19579,105648
2017-10-30,2.18699,2.37102,2.1286,2.29469,2.29469,240235
2017-10-31,2.29029,2.43432,2.09228,2.2549200000000003,2.2549200000000003,319023
2017-11-01,2.25231,2.8428299999999997,2.00985,2.53048,2.53048,499209
2017-11-02,2.53452,2.6855700000000002,2.07401,2.09461,2.09461,235770
2017-11-03,2.0974,2.27995,2.06871,2.27325,2.27325,219889
2017-11-04,2.2700099999999996,2.3401,2.10105,2.29672,2.29672,117197
2017-11-05,2.29506,2.32979,2.00946,2.0264599999999997,2.0264599999999997,141702
2017-11-06,2.03009,2.36518,1.9500099999999998,2.08617,2.08617,215422
2017-11-07,2.08522,2.18257,1.98035,2.1290299999999998,2.1290299999999998,223115
2017-11-08,2.12412,2.36918,2.03897,2.29704,2.29704,227672
2017-11-09,2.29128,2.3549900000000004,2.05722,2.13616,2.13616,194187
2017-11-10,2.1406,2.4897400000000003,2.06415,2.11364,2.11364,274725
2017-11-11,2.45675,2.46137,2.1963,2.32687,2.32687,184703
2017-11-12,2.32646,2.32646,1.95415,2.1413599999999997,2.1413599999999997,140886
2017-11-13,2.15808,3.1530400000000003,2.11521,2.99275,2.99275,324224
2017-11-14,2.6603,3.3588,2.6603,2.99071,2.99071,303585
2017-11-15,2.99244,3.3738599999999996,2.99244,3.11077,3.11077,328776
2017-11-16,3.11899,3.55453,2.8864799999999997,3.23256,3.23256,403579
2017-11-17,3.22871,3.29037,2.89548,2.9763599999999997,2.9763599999999997,274761
2017-11-18,2.9680299999999997,3.0644099999999996,2.7921099999999996,3.0163,3.0163,181506
2017-11-19,3.00989,3.1023,2.78815,3.01641,3.01641,207837
2017-11-20,3.01408,3.21473,2.7974900000000003,2.92845,2.92845,336954
2017-11-21,2.927,3.27488,2.74465,2.84606,2.84606,313349
2017-11-22,2.85148,8.07961,2.84476,6.724810000000001,6.724810000000001,838655
2017-11-23,6.82857,6.8620399999999995,5.51433,5.82175,5.82175,397164
2017-11-24,5.806690000000001,14.1764,5.43617,7.2908800000000005,7.2908800000000005,4244840
2017-11-25,7.27785,8.012189999999999,6.976660000000001,8.012189999999999,8.012189999999999,3079690
2017-11-26,8.00963,8.70485,7.614269999999999,8.244639999999999,8.244639999999999,2590430
2017-11-27,8.24592,10.0057,7.77758,8.926839999999999,8.926839999999999,2799430
2017-11-28,9.521230000000001,9.94908,8.123439999999999,9.16974,9.16974,3404190
2017-11-29,9.15775,9.72442,7.91493,7.99303,7.99303,2429480
2017-11-30,8.60678,8.77479,7.35147,8.05087,8.05087,1769440
2017-12-01,8.01339,9.1231,7.917110000000001,9.02257,9.02257,1757890
2017-12-02,9.007610000000001,9.05326,7.27101,7.31705,7.31705,2303460
2017-12-03,7.31226,7.8086899999999995,6.6714,6.89042,6.89042,1389250
2017-12-04,6.832489999999999,7.33465,6.45477,7.103389999999999,7.103389999999999,1389070
