cluster_id,cryptos
0,"['ADA', 'ARDR', 'SC', 'STRAT', 'ARK', 'ICX', 'ZEC', 'GNT', 'MLN', 'QTUM']"
1,"['ADX', 'VERI', 'BCN', 'DNT', 'NANO', 'DGB', 'XRP', 'BLOCK', 'GBYTE', 'WINGS', 'XCP', 'LRC', 'NXS', 'XVG', 'XUC', 'VTC', 'IOC', 'MIOTA', 'CVC', 'NEBL', 'NAV', 'FCT', 'QRL', 'PART', 'SNM', 'FUN', 'MTL', 'SNGLS', 'STORJ', 'SYS']"
2,"['AE', 'BCH', 'ETC', 'TAAS', 'DGD']"
3,"['ANT', 'REP', 'XLM', 'KNC', 'NEO']"
4,"['ATB', 'SALT', 'NLC2', 'NXT', 'KIN', 'XEM', 'MGO', 'SUB', 'PPT', 'UBQ']"
5,"['BAT', 'RLC', 'MCO', 'DCR', 'EOS', 'TRX', 'BTC', 'MAID']"
6,"['BNB', 'LINK']"
7,"['BNT', 'QASH', 'LSK', 'MONA']"
8,"['BTG', 'USDT', 'PAY']"
9,"['BTS', 'DASH', 'OMG', 'WAVES', 'XZC', 'WTC', 'GAS', 'HC', 'STEEM', 'PIVX', 'SNT', 'GNO']"
10,['DCN']
11,"['DOGE', 'ZEN', 'ZRX', 'XMR', 'ETH', 'ETP', 'LTC']"
12,"['EDG', 'SMART', 'GAME', 'FRST']"
13,['KMD']
