Date,Close
2014-10-25,7.000000000000002e-06
2014-10-26,1.1e-05
2014-10-27,1e-05
2014-10-28,4e-06
2014-10-29,7.000000000000002e-06
2014-10-30,7.000000000000002e-06
2014-10-31,7.000000000000002e-06
2014-11-01,4e-06
2014-11-02,5e-06
2014-11-03,4e-06
2014-11-04,5e-06
2014-11-05,4e-06
2014-11-06,4e-06
2014-11-07,4e-06
2014-11-08,4e-06
2014-11-09,6e-06
2014-11-10,4e-06
2014-11-11,4e-06
2014-11-12,4e-06
2014-11-13,4e-06
2014-11-14,4e-06
2014-11-15,4e-06
2014-11-16,5e-06
2014-11-17,4e-06
2014-11-18,4e-06
2014-11-19,4e-06
2014-11-20,4e-06
2014-11-21,4e-06
2014-11-22,4e-06
2014-11-23,4e-06
2014-11-24,4e-06
2014-11-25,3e-06
2014-11-26,3e-06
2014-11-27,4e-06
2014-11-28,4e-06
2014-11-29,4e-06
2014-11-30,4e-06
2014-12-01,6e-06
2014-12-02,4e-06
2014-12-03,5e-06
2014-12-04,5e-06
2014-12-05,5e-06
2014-12-06,4e-06
2014-12-07,7.000000000000002e-06
2014-12-08,4e-06
2014-12-09,5e-06
2014-12-10,6e-06
2014-12-11,4e-06
2014-12-12,4e-06
2014-12-13,4e-06
2014-12-14,4e-06
2014-12-15,6e-06
2014-12-16,3e-06
2014-12-17,3e-06
2014-12-18,3e-06
2014-12-19,3e-06
2014-12-20,3e-06
2014-12-21,3e-06
2014-12-22,3e-06
2014-12-23,3e-06
2014-12-24,3e-06
2014-12-25,6e-06
2014-12-26,4e-06
2014-12-27,3e-06
2014-12-28,5e-06
2014-12-29,3e-06
2014-12-30,3e-06
2014-12-31,3e-06
2015-01-01,4e-06
2015-01-02,3e-06
2015-01-03,3e-06
2015-01-04,3e-06
2015-01-05,2e-06
2015-01-06,3e-06
2015-01-07,3e-06
2015-01-08,5e-06
2015-01-09,6e-06
2015-01-10,5e-06
2015-01-11,8e-06
2015-01-12,1e-05
2015-01-13,9e-06
2015-01-14,6e-06
2015-01-15,7.000000000000002e-06
2015-01-16,5e-06
2015-01-17,6e-06
2015-01-18,7.000000000000002e-06
2015-01-19,6e-06
2015-01-20,4e-06
2015-01-21,5e-06
2015-01-22,4e-06
2015-01-23,4e-06
2015-01-24,4e-06
2015-01-25,5e-06
2015-01-26,6e-06
2015-01-27,6e-06
2015-01-28,5e-06
2015-01-29,5e-06
2015-01-30,4e-06
2015-01-31,4e-06
2015-02-01,4e-06
2015-02-02,3e-06
2015-02-03,4e-06
2015-02-04,2e-06
2015-02-05,3e-06
2015-02-06,3e-06
2015-02-07,2e-06
2015-02-08,4e-06
2015-02-09,4e-06
2015-02-10,4e-06
2015-02-11,4e-06
2015-02-12,5e-06
2015-02-13,5e-06
2015-02-14,5e-06
2015-02-15,5e-06
2015-02-16,5e-06
2015-02-17,5e-06
2015-02-18,5e-06
2015-02-19,3.4e-05
2015-02-20,2.7e-05
2015-02-21,2.1e-05
2015-02-22,1.7e-05
2015-02-23,1.7e-05
2015-02-24,2.1e-05
2015-02-25,1.9e-05
2015-02-26,1.8e-05
2015-02-27,1.8e-05
2015-02-28,2e-05
2015-03-01,1.6e-05
2015-03-02,1.8e-05
2015-03-03,1.7e-05
2015-03-04,1.4e-05
2015-03-05,1.1e-05
2015-03-06,1.5e-05
2015-03-07,1.4e-05
