Date,Open,High,Low,Close,Adj Close
2017-08-03,0.018737,0.018737,0.013456,0.015591999999999996,0.015591999999999996
2017-08-04,0.015633,0.025276,0.013642,0.017547999999999998,0.017547999999999998
2017-08-05,0.017493,0.019874,0.016232,0.019226,0.019226
2017-08-06,0.019364,0.033098,0.019321,0.0264,0.0264
2017-08-07,0.026162,0.026162,0.022468,0.025697,0.025697
2017-08-08,0.025753,0.026182,0.019153,0.026182,0.026182
2017-08-09,0.024967,0.036884,0.024967,0.035532,0.035532
2017-08-10,0.036578,0.06551799999999999,0.034908,0.058238,0.058238
2017-08-11,0.059205,0.098248,0.059205,0.084747,0.084747
2017-08-12,0.086645,0.097637,0.070345,0.08230900000000001,0.08230900000000001
2017-08-13,0.082345,0.093079,0.073918,0.090572,0.090572
2017-08-14,0.091006,0.185669,0.088502,0.17064,0.17064
2017-08-15,0.170467,0.173823,0.132964,0.142708,0.142708
2017-08-16,0.140152,0.16744,0.124014,0.148395,0.148395
2017-08-17,0.148403,0.152524,0.125403,0.1295,0.1295
2017-08-18,0.128668,0.160527,0.120707,0.15923800000000002,0.15923800000000002
2017-08-19,0.160665,0.18179,0.135437,0.174822,0.174822
2017-08-20,0.176636,0.257331,0.16511900000000002,0.257331,0.257331
2017-08-21,0.242319,0.261498,0.184282,0.197774,0.197774
2017-08-22,0.197746,0.197746,0.136344,0.170682,0.170682
2017-08-23,0.168603,0.173676,0.13138,0.139432,0.139432
2017-08-24,0.142492,0.160901,0.139767,0.148134,0.148134
2017-08-25,0.146552,0.162127,0.119329,0.120034,0.120034
2017-08-26,0.12039,0.13627999999999998,0.114624,0.13627999999999998,0.13627999999999998
2017-08-27,0.137742,0.162886,0.12978399999999998,0.134479,0.134479
2017-08-28,0.134418,0.135371,0.115262,0.129418,0.129418
2017-08-29,0.13042,0.13042,0.109419,0.110436,0.110436
2017-08-30,0.109596,0.110908,0.091783,0.110577,0.110577
2017-08-31,0.110259,0.12728399999999998,0.098338,0.111031,0.111031
2017-09-01,0.111527,0.112378,0.083861,0.086394,0.086394
2017-09-02,0.086503,0.090045,0.073757,0.082704,0.082704
2017-09-03,0.083079,0.094647,0.07292,0.090513,0.090513
2017-09-04,0.091037,0.093303,0.052453,0.066215,0.066215
2017-09-05,0.066011,0.071747,0.058008,0.06966499999999999,0.06966499999999999
2017-09-06,0.06947,0.078664,0.069283,0.073034,0.073034
2017-09-07,0.07321,0.076467,0.067437,0.074184,0.074184
