Date,Open,High,Low,Close,Adj Close
2016-04-06,2.03513,3.76828,1.45008,3.76828,3.76828
2016-04-07,3.91844,8.28876,2.02112,4.99442,4.99442
2016-04-08,5.01279,7.8933,2.49598,4.529,4.529
2016-04-09,4.05705,4.58748,2.40278,2.44157,2.44157
2016-04-10,2.44263,2.75558,1.1437,1.36845,1.36845
2016-04-11,1.36945,3.16576,1.2712,3.13306,3.13306
2016-04-12,3.13573,3.14154,1.17303,1.23246,1.23246
2016-04-13,1.29456,1.37679,0.977091,1.28772,1.28772
2016-04-14,1.0022,1.31359,0.73644,1.1873,1.1873
2016-04-15,1.18763,1.7386700000000002,1.09338,1.1966,1.1966
2016-04-16,1.19622,1.26105,0.867777,1.22882,1.22882
2016-04-17,1.22904,1.79909,1.14886,1.66082,1.66082
2016-04-18,1.66159,1.66353,0.928835,1.02114,1.02114
2016-04-19,1.0214,1.96082,1.01525,1.85262,1.85262
2016-04-20,1.85162,1.85211,1.29956,1.33296,1.33296
2016-04-21,1.33277,1.84041,1.33277,1.6526299999999998,1.6526299999999998
2016-04-22,1.65434,1.97628,0.948411,1.8199,1.8199
2016-04-23,1.8204,2.10046,1.15115,1.27344,1.27344
2016-04-24,1.27422,1.7412,0.986183,1.41395,1.41395
2016-04-25,1.4157,1.4160700000000002,0.773489,0.773489,0.773489
2016-04-26,0.7738619999999999,0.802259,0.70129,0.7292310000000001,0.7292310000000001
2016-04-27,0.729496,0.8354370000000001,0.6224529999999999,0.623225,0.623225
2016-04-28,0.623713,0.742672,0.454936,0.738716,0.738716
2016-04-29,0.7393689999999999,0.788671,0.514736,0.7658149999999999,0.7658149999999999
2016-04-30,0.7659520000000001,1.64589,0.734653,1.27281,1.27281
2016-05-01,1.27328,1.63129,0.559062,0.70878,0.70878
2016-05-02,0.708871,1.40094,0.676872,1.17644,1.17644
2016-05-03,1.1766,1.4433,0.723931,0.725287,0.725287
2016-05-04,0.725092,1.51594,0.717662,1.5159,1.5159
2016-05-05,1.51586,1.55896,1.22732,1.41644,1.41644
2016-05-06,1.41632,1.62565,0.814017,0.814017,0.814017
2016-05-07,0.814081,0.85114,0.694595,0.696178,0.696178
2016-05-08,0.696016,1.0792700000000002,0.6351319999999999,0.790503,0.790503
2016-05-09,0.789914,0.789914,0.745417,0.7611640000000001,0.7611640000000001
2016-05-10,0.7612220000000001,0.85854,0.7489279999999999,0.8335549999999999,0.8335549999999999
2016-05-11,0.8334969999999999,1.51462,0.8334969999999999,1.2169299999999998,1.2169299999999998
2016-05-12,1.2161799999999998,1.21622,0.779563,0.81667,0.81667
2016-05-13,0.816821,0.817354,0.7797149999999999,0.788618,0.788618
2016-05-14,0.7888850000000001,0.889906,0.788798,0.824642,0.824642
2016-05-15,0.824801,0.931774,0.777341,0.8293940000000001,0.8293940000000001
2016-05-16,0.829427,0.8413649999999999,0.779664,0.784433,0.784433
2016-05-17,0.7840020000000001,1.70737,0.481615,0.7508050000000001,0.7508050000000001
2016-05-18,0.7506520000000001,2.14393,0.7500319999999999,1.89158,1.89158
2016-05-19,1.89118,2.30126,1.32002,1.42895,1.42895
2016-05-20,1.42404,3.4142300000000003,1.3722299999999998,3.4142300000000003,3.4142300000000003
2016-05-21,3.41419,4.81314,1.96301,4.07528,4.07528
2016-05-22,4.07516,4.4955,2.2539700000000003,2.74333,2.74333
2016-05-23,2.74283,3.47622,2.3559400000000004,2.94963,2.94963
2016-05-24,2.96353,6.96772,0.417569,0.560052,0.560052
2016-05-25,0.6213,0.6213,0.1714,0.278525,0.278525
2016-05-26,0.269664,0.50095,0.269568,0.50095,0.50095
2016-05-27,0.519493,0.568797,0.332442,0.385324,0.385324
