Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,31.8992,31.8992,31.4006,31.680799,31.680799,1899
2016-04-19,31.6896,31.872801000000003,31.132,31.4429,31.4429,77
2016-04-20,31.3846,34.1595,30.9562,33.426102,33.426102,562
2016-04-21,33.471199,33.978901,29.556499,29.718901000000002,29.718901000000002,1903
2016-04-22,29.887898999999997,31.440399,29.1404,30.8141,30.8141,1039
2016-04-23,30.7264,32.132099,30.7264,31.775,31.775,3198
2016-04-24,31.7815,32.121899,28.623898999999998,29.120001000000002,29.120001000000002,1092
2016-04-25,29.1182,30.8559,26.1425,27.6602,27.6602,1363
2016-04-26,27.7026,35.121399,26.908501,34.880901,34.880901,339
2016-04-27,34.892399,34.944599,28.330299,29.5525,29.5525,1025
2016-04-28,29.5891,29.992701,28.801701,29.007,29.007,2737
2016-04-29,29.1099,29.1663,4.958559999999999,7.94815,7.94815,34807
2016-04-30,7.95828,9.02999,5.9337599999999995,7.411289999999999,7.411289999999999,9314
2016-05-01,7.4068,7.4068,5.60473,7.1597800000000005,7.1597800000000005,55216
2016-05-02,7.11918,7.12027,6.2100599999999995,6.6737,6.6737,50987
2016-05-03,6.6746,9.590869999999999,4.10424,6.41956,6.41956,44238
2016-05-04,6.41461,8.35523,4.56785,8.07147,8.07147,64670
2016-05-05,8.07126,10.2569,7.147239999999999,10.2522,10.2522,217227
2016-05-06,10.2172,17.0597,10.0535,14.9102,14.9102,1006370
2016-05-07,14.9116,14.946,12.2087,12.759,12.759,64056
2016-05-08,12.7569,14.1454,11.8257,11.9158,11.9158,112971
2016-05-09,11.9115,13.9268,11.8498,11.9381,11.9381,113916
2016-05-10,11.9388,13.99,10.3884,13.0725,13.0725,326426
2016-05-11,13.0719,15.4439,11.6902,13.3541,13.3541,367524
2016-05-12,13.347,14.1684,12.6433,12.7475,12.7475,149822
2016-05-13,12.7497,13.9787,12.0742,12.7705,12.7705,156697
2016-05-14,12.7991,12.8062,10.915,12.135,12.135,49058
2016-05-15,12.1353,12.1354,8.39816,10.193,10.193,85434
2016-05-16,10.1939,10.7062,9.49555,10.0336,10.0336,16442
2016-05-17,10.0329,10.2223,9.66508,10.0762,10.0762,14208
2016-05-18,10.0754,10.7465,9.80764,10.2036,10.2036,32865
2016-05-19,10.2041,10.7135,8.498439999999999,9.08589,9.08589,49102
2016-05-20,9.081439999999999,9.84618,8.75274,9.51982,9.51982,28807
2016-05-21,9.52406,9.62989,8.2303,9.0644,9.0644,49878
2016-05-22,8.995610000000001,9.6713,8.43469,9.26275,9.26275,22891
2016-05-23,9.26224,9.47898,8.27857,8.943489999999999,8.943489999999999,54060
2016-05-24,8.94375,9.09427,8.48595,8.73632,8.73632,18582
2016-05-25,8.736080000000001,8.93527,8.2814,8.38691,8.38691,14636
2016-05-26,8.38809,9.39149,8.2795,9.21003,9.21003,38978
2016-05-27,9.20983,9.440439999999999,8.6787,8.68287,8.68287,22859
2016-05-28,8.681389999999999,9.40226,8.32226,8.64521,8.64521,21512
2016-05-29,9.2631,9.5778,8.284239999999999,8.41285,8.41285,9208
2016-05-30,8.4249,8.67945,7.62487,8.514,8.514,26600
2016-05-31,8.508510000000001,8.72516,8.01205,8.36417,8.36417,15195
2016-06-01,8.362639999999999,9.002310000000001,7.53518,8.83061,8.83061,36253
2016-06-02,8.826260000000001,9.26848,7.91602,9.04739,9.04739,68270
2016-06-03,9.043560000000001,10.3528,8.531089999999999,10.2666,10.2666,104249
2016-06-04,10.2732,10.2771,9.30057,9.94926,9.94926,91393
2016-06-05,9.655380000000001,10.4459,9.43806,9.93109,9.93109,60890
2016-06-06,10.0922,10.2577,9.29053,9.30922,9.30922,29876
2016-06-07,9.30949,9.982489999999999,9.28844,9.6189,9.6189,23477
2016-06-08,9.62223,9.77875,8.74013,8.91942,8.91942,58958
2016-06-09,8.9229,10.4433,8.91785,10.4172,10.4172,65405
2016-06-10,10.4284,12.1742,9.70209,10.8437,10.8437,147608
2016-06-11,11.3392,11.3392,10.3368,10.4762,10.4762,67720
2016-06-12,10.4886,11.6399,10.4766,11.1569,11.1569,71030
2016-06-13,11.1535,15.2869,11.1535,14.5034,14.5034,255020
2016-06-14,14.5034,14.6298,12.9214,13.354,13.354,158875
2016-06-15,13.356,13.6926,12.7735,12.9647,12.9647,70284
2016-06-16,12.9709,15.8346,12.9709,15.775,15.775,488222
2016-06-17,15.9146,16.0553,11.8358,13.6308,13.6308,513470
2016-06-18,13.6344,14.4501,12.3739,12.5074,12.5074,189317
2016-06-19,12.5061,13.0157,10.5788,11.8842,11.8842,172812
2016-06-20,11.8497,12.1738,10.5536,10.9371,10.9371,108926
2016-06-21,10.9252,11.0407,9.88035,10.9545,10.9545,108127
2016-06-22,10.9522,12.1645,10.6691,10.7141,10.7141,137564
2016-06-23,10.7374,11.4387,10.0728,10.6383,10.6383,64374
2016-06-24,10.9459,12.3636,10.4574,11.5251,11.5251,109780
2016-06-25,11.544,12.1643,11.4042,11.839,11.839,38809
2016-06-26,11.616,11.8562,10.665,11.3395,11.3395,45262
2016-06-27,11.352,11.5121,11.0005,11.3633,11.3633,18843
2016-06-28,11.3887,11.6699,10.1783,10.2363,10.2363,35914
2016-06-29,10.2968,11.0117,9.95758,10.8628,10.8628,32423
2016-06-30,10.8636,10.9324,10.1584,10.3445,10.3445,34779
2016-07-01,10.3313,10.8861,9.86317,10.4271,10.4271,30204
2016-07-02,10.4315,10.5395,9.69134,10.1842,10.1842,40552
2016-07-03,10.198,10.2553,9.756860000000001,10.058,10.058,39056
2016-07-04,10.0609,10.1291,9.54393,9.64153,9.64153,26422
2016-07-05,9.6399,9.78768,9.10834,9.42639,9.42639,52647
2016-07-06,9.4131,9.87462,9.1477,9.22151,9.22151,14866
2016-07-07,9.22476,9.4724,8.82055,9.3992,9.3992,33676
2016-07-08,9.400260000000001,9.46376,9.15057,9.46338,9.46338,11030
2016-07-09,9.46359,9.60915,9.005939999999999,9.05303,9.05303,9977
2016-07-10,9.0512,9.394630000000001,8.93023,9.16194,9.16194,9359
2016-07-11,9.160160000000001,9.40067,8.84862,8.85338,8.85338,34945
2016-07-12,8.85598,9.41372,8.83075,8.89649,8.89649,40414
2016-07-13,8.89587,9.3603,8.81581,8.81581,8.81581,22207
2016-07-14,8.81588,10.089,8.8152,10.0885,10.0885,29642
2016-07-15,10.0984,10.8203,9.7784,10.3265,10.3265,53039
2016-07-16,10.3255,10.3909,10.1349,10.3106,10.3106,6588
2016-07-17,10.3035,10.5389,9.63912,9.81819,9.81819,17213
2016-07-18,9.8224,9.90218,9.51924,9.625169999999999,9.625169999999999,6276
2016-07-19,9.62452,10.1902,9.45539,10.1201,10.1201,14956
