Date,Close
2015-08-26,4.1e-05
2015-08-27,4.3e-05
2015-08-28,3.9e-05
2015-08-29,3.4e-05
2015-08-30,3.2e-05
2015-08-31,2.9999999999999997e-05
2015-09-01,2.9999999999999997e-05
2015-09-02,2.8000000000000013e-05
2015-09-03,2.5e-05
2015-09-04,2.5e-05
2015-09-05,2.4e-05
2015-09-06,2.8999999999999997e-05
2015-09-07,4.3e-05
2015-09-08,7.8e-05
2015-09-09,4.8e-05
2015-09-10,4.8e-05
2015-09-11,4.3e-05
2015-09-12,3.3e-05
2015-09-13,3.5e-05
2015-09-14,3.5e-05
2015-09-15,3.5e-05
2015-09-16,2.9999999999999997e-05
2015-09-17,2.9999999999999997e-05
2015-09-18,2.9999999999999997e-05
2015-09-19,2.8000000000000013e-05
2015-09-20,2.8000000000000013e-05
2015-09-21,2.9999999999999997e-05
2015-09-22,3.2e-05
2015-09-23,3.2e-05
2015-09-24,3.3e-05
2015-09-25,3.1e-05
2015-09-26,3.3e-05
2015-09-27,2.9999999999999997e-05
2015-09-28,2.8999999999999997e-05
2015-09-29,2.8000000000000013e-05
2015-09-30,2.8000000000000013e-05
2015-10-01,2.8999999999999997e-05
2015-10-02,2.8000000000000013e-05
2015-10-03,2.6000000000000002e-05
2015-10-04,2.8999999999999997e-05
2015-10-05,2.8999999999999997e-05
2015-10-06,2.7000000000000002e-05
2015-10-07,2.7000000000000002e-05
2015-10-08,3.1e-05
2015-10-09,3.2e-05
2015-10-10,2.8999999999999997e-05
2015-10-11,3.5e-05
2015-10-12,3.7e-05
2015-10-13,4e-05
2015-10-14,3.5e-05
2015-10-15,3.8e-05
2015-10-16,4.5e-05
2015-10-17,4.3e-05
2015-10-18,5e-05
2015-10-19,5e-05
2015-10-20,4e-05
2015-10-21,4.5e-05
2015-10-22,4.1e-05
2015-10-23,4.1e-05
2015-10-24,3.9e-05
2015-10-25,3.4e-05
2015-10-26,3.4e-05
2015-10-27,3.5e-05
2015-10-28,3.7e-05
2015-10-29,3.8e-05
2015-10-30,3.9e-05
2015-10-31,3.5e-05
2015-11-01,3.6e-05
2015-11-02,3.6e-05
2015-11-03,3.6e-05
2015-11-04,3.7e-05
2015-11-05,3.5e-05
2015-11-06,2.9999999999999997e-05
2015-11-07,3.1e-05
2015-11-08,2.9999999999999997e-05
2015-11-09,2.9999999999999997e-05
2015-11-10,2.7000000000000002e-05
2015-11-11,2.5e-05
2015-11-12,2.4e-05
2015-11-13,2.4e-05
2015-11-14,2.3e-05
2015-11-15,2.2e-05
2015-11-16,2e-05
2015-11-17,2.3e-05
2015-11-18,2.3e-05
2015-11-19,2e-05
2015-11-20,2.6000000000000002e-05
2015-11-21,2.3e-05
2015-11-22,2.6000000000000002e-05
2015-11-23,1.9e-05
2015-11-24,2.2e-05
2015-11-25,2e-05
2015-11-26,2.1e-05
2015-11-27,1.4000000000000001e-05
2015-11-28,1.8e-05
2015-11-29,1.9e-05
2015-11-30,1.9e-05
2015-12-01,1.8e-05
2015-12-02,1.8e-05
2015-12-03,2.2e-05
2015-12-04,1.8e-05
2015-12-05,1.9e-05
2015-12-06,1.9e-05
2015-12-07,2e-05
2015-12-08,1.7e-05
2015-12-09,1.7e-05
2015-12-10,1.7e-05
2015-12-11,1.4000000000000001e-05
2015-12-12,1.7e-05
2015-12-13,2.2e-05
2015-12-14,1.8e-05
2015-12-15,1.4000000000000001e-05
2015-12-16,2.3e-05
2015-12-17,1.8e-05
2015-12-18,1.9e-05
2015-12-19,1.8e-05
2015-12-20,1.8e-05
2015-12-21,1.8e-05
2015-12-22,1.7e-05
2015-12-23,2.2e-05
2015-12-24,1.8e-05
2015-12-25,1.8e-05
2015-12-26,1.7e-05
2015-12-27,1.7e-05
2015-12-28,1.3000000000000001e-05
2015-12-29,1.7e-05
2015-12-30,1.7e-05
2015-12-31,1.7e-05
2016-01-01,2.2e-05
2016-01-02,2.2e-05
2016-01-03,1.95e-05
2016-01-04,1.7e-05
2016-01-05,1.7e-05
2016-01-06,1.7e-05
2016-01-07,1.8e-05
2016-01-08,1.8e-05
2016-01-09,2.2e-05
2016-01-10,2.7000000000000002e-05
2016-01-11,2.7000000000000002e-05
2016-01-12,2.2e-05
2016-01-13,2.2e-05
2016-01-14,2.2e-05
2016-01-15,2.2e-05
2016-01-16,1.9e-05
2016-01-17,1.9e-05
2016-01-18,1.9e-05
2016-01-19,1.9e-05
2016-01-20,2.1e-05
2016-01-21,2.8999999999999997e-05
2016-01-22,2.3e-05
2016-01-23,2.7000000000000002e-05
2016-01-24,2.8000000000000013e-05
2016-01-25,2.4e-05
2016-01-26,2.4e-05
2016-01-27,2.4e-05
2016-01-28,2.3e-05
2016-01-29,2.9999999999999997e-05
2016-01-30,2.6000000000000002e-05
2016-01-31,2.2e-05
2016-02-01,2.2e-05
2016-02-02,2.6000000000000002e-05
2016-02-03,2.6000000000000002e-05
2016-02-04,3.1e-05
2016-02-05,3.1e-05
2016-02-06,2.9999999999999997e-05
2016-02-07,2.9999999999999997e-05
2016-02-08,5.2000000000000004e-05
2016-02-09,4.5e-05
2016-02-10,4.2e-05
2016-02-11,6.1e-05
2016-02-12,9.6e-05
2016-02-13,7.8e-05
2016-02-14,0.00011
2016-02-15,0.0001
2016-02-16,9e-05
2016-02-17,7.900000000000001e-05
2016-02-18,8.4e-05
2016-02-19,8.4e-05
2016-02-20,7.900000000000001e-05
2016-02-21,7e-05
2016-02-22,8.3e-05
2016-02-23,7.6e-05
2016-02-24,8.9e-05
2016-02-25,7.6e-05
2016-02-26,7.8e-05
2016-02-27,7.8e-05
2016-02-28,7.4e-05
2016-02-29,8.3e-05
2016-03-01,7e-05
2016-03-02,7.2e-05
2016-03-03,8.4e-05
2016-03-04,7.8e-05
2016-03-05,7.6e-05
2016-03-06,0.000106
2016-03-07,0.00010400000000000001
2016-03-08,9.1e-05
2016-03-09,9.1e-05
2016-03-10,0.00010800000000000001
2016-03-11,0.00011
2016-03-12,0.00011100000000000001
2016-03-13,9.499999999999999e-05
2016-03-14,9.6e-05
2016-03-15,0.00010400000000000001
2016-03-16,0.0001
2016-03-17,0.00011399999999999999
2016-03-18,0.00011499999999999999
2016-03-19,0.000144
2016-03-20,0.00014099999999999998
2016-03-21,0.000132
2016-03-22,0.00013000000000000002
2016-03-23,0.00013000000000000002
2016-03-24,0.000146
2016-03-25,0.00014199999999999998
2016-03-26,0.000138
2016-03-27,0.00011100000000000001
2016-03-28,0.000127
2016-03-29,0.000121
2016-03-30,0.000124
2016-03-31,0.000121
2016-04-01,0.000121
2016-04-02,0.000122
2016-04-03,0.00011399999999999999
2016-04-04,0.000122
2016-04-05,0.00011899999999999999
2016-04-06,0.00011
2016-04-07,0.000106
2016-04-08,0.000101
2016-04-09,0.000105
2016-04-10,9.300000000000001e-05
2016-04-11,0.00011
2016-04-12,0.00011100000000000001
2016-04-13,0.00011399999999999999
2016-04-14,0.000127
2016-04-15,0.00011200000000000001
2016-04-16,0.00010800000000000001
2016-04-17,0.00011100000000000001
2016-04-18,0.00011100000000000001
2016-04-19,0.000105
2016-04-20,0.000102
2016-04-21,9.4e-05
2016-04-22,0.00010700000000000001
2016-04-23,9.499999999999999e-05
2016-04-24,9.2e-05
2016-04-25,8.3e-05
2016-04-26,8.4e-05
2016-04-27,8.4e-05
2016-04-28,9e-05
2016-04-29,8.6e-05
2016-04-30,8.499999999999999e-05
2016-05-01,8.6e-05
2016-05-02,8.499999999999999e-05
2016-05-03,9e-05
2016-05-04,0.000103
2016-05-05,0.000103
2016-05-06,9.7e-05
2016-05-07,0.00011
2016-05-08,0.000124
2016-05-09,0.00011100000000000001
2016-05-10,0.000113
2016-05-11,0.000113
2016-05-12,0.00011399999999999999
2016-05-13,0.00011399999999999999
2016-05-14,0.000109
2016-05-15,0.00011899999999999999
2016-05-16,0.000118
2016-05-17,0.000172
2016-05-18,0.000164
2016-05-19,0.00027
2016-05-20,0.000279
2016-05-21,0.000317
2016-05-22,0.000314
2016-05-23,0.000265
2016-05-24,0.000245
2016-05-25,0.00025
2016-05-26,0.00027400000000000005
2016-05-27,0.000265
2016-05-28,0.000256
2016-05-29,0.000262
2016-05-30,0.000314
2016-05-31,0.000325
2016-06-01,0.000337
2016-06-02,0.00032
2016-06-03,0.000327
2016-06-04,0.00032900000000000003
2016-06-05,0.000424
2016-06-06,0.000443
2016-06-07,0.0005809999999999999
2016-06-08,0.00057
2016-06-09,0.000553
2016-06-10,0.000492
2016-06-11,0.000515
2016-06-12,0.000587
2016-06-13,0.000647
2016-06-14,0.000641
2016-06-15,0.00065
2016-06-16,0.0008529999999999999
2016-06-17,0.000973
2016-06-18,0.0008289999999999999
2016-06-19,0.0009390000000000001
2016-06-20,0.000901
2016-06-21,0.0008289999999999999
2016-06-22,0.0008789999999999999
2016-06-23,0.0008900000000000002
2016-06-24,0.0009019999999999999
2016-06-25,0.001125
2016-06-26,0.0010019999999999999
2016-06-27,0.0009939999999999999
2016-06-28,0.000906
2016-06-29,0.000799
2016-06-30,0.000776
2016-07-01,0.000772
2016-07-02,0.000826
2016-07-03,0.0007830000000000001
2016-07-04,0.000793
2016-07-05,0.000737
2016-07-06,0.0006889999999999999
2016-07-07,0.000677
2016-07-08,0.000714
2016-07-09,0.000711
2016-07-10,0.000671
2016-07-11,0.0006190000000000001
2016-07-12,0.000602
2016-07-13,0.000617
2016-07-14,0.000724
2016-07-15,0.000779
2016-07-16,0.000735
2016-07-17,0.000697
2016-07-18,0.000683
2016-07-19,0.000668
2016-07-20,0.000687
2016-07-21,0.0007
2016-07-22,0.0007030000000000001
2016-07-23,0.000698
2016-07-24,0.000667
2016-07-25,0.00066
2016-07-26,0.000648
2016-07-27,0.000646
2016-07-28,0.000656
2016-07-29,0.000663
2016-07-30,0.000647
2016-07-31,0.0006309999999999999
2016-08-01,0.000614
2016-08-02,0.000509
2016-08-03,0.000533
2016-08-04,0.0005480000000000001
2016-08-05,0.00056
2016-08-06,0.000549
2016-08-07,0.000542
2016-08-08,0.000532
2016-08-09,0.0005099999999999999
2016-08-10,0.000502
2016-08-11,0.000559
2016-08-12,0.000519
