Date,Open,High,Low,Close,Adj_Close,Volume
2014-09-17,0.005123,0.005803,0.005123,0.005399,0.005399,1281960
2014-09-18,0.005398,0.005521,0.005091,0.005135,0.005135,491147
2014-09-19,0.0051340000000000005,0.005167000000000001,0.004873,0.004942,0.004942,407109
2014-09-20,0.004942,0.004954,0.004736,0.004772,0.004772,322621
2014-09-21,0.004768,0.004790999999999999,0.00454,0.00457,0.00457,309571
2014-09-22,0.004561,0.0046700000000000005,0.004532,0.004657,0.004657,267342
2014-09-23,0.004654999999999999,0.004656,0.004547,0.004613,0.004613,323106
2014-09-24,0.00461,0.004668,0.004511,0.004668,0.004668,349329
2014-09-25,0.0046700000000000005,0.00485,0.004642,0.004722,0.004722,745348
2014-09-26,0.004722,0.004734,0.004558,0.004616,0.004616,497323
2014-09-27,0.004607,0.004717,0.004575,0.004705,0.004705,221573
2014-09-28,0.004706,0.005345,0.00465,0.005282,0.005282,464102
2014-09-29,0.005279,0.005442,0.004658,0.004705,0.004705,122073
2014-09-30,0.004705,0.004707,0.004635,0.004644,0.004644,109352
2014-10-01,0.004645000000000001,0.004772,0.004644,0.004752,0.004752,64998
2014-10-02,0.004755,0.004876,0.004753,0.004874,0.004874,209158
2014-10-03,0.004876,0.00505,0.004875,0.005023,0.005023,264083
2014-10-04,0.005024,0.005204,0.0049310000000000005,0.004941,0.004941,168516
2014-10-05,0.004935,0.005012,0.004746,0.004789,0.004789,181316
2014-10-06,0.004777,0.004787,0.004707,0.00473,0.00473,218684
2014-10-07,0.004731,0.004806,0.004727,0.004765,0.004765,136439
2014-10-08,0.004769,0.004806,0.004699,0.004787,0.004787,398026
2014-10-09,0.004787,0.004879,0.00477,0.004824,0.004824,214591
2014-10-10,0.004824,0.004876,0.004814,0.004871,0.004871,140436
2014-10-11,0.004873,0.004881,0.004748,0.004753,0.004753,263175
2014-10-12,0.004754,0.004867,0.004744,0.004858,0.004858,272667
2014-10-13,0.0048530000000000005,0.004867,0.00472,0.004784,0.004784,463679
2014-10-14,0.004794,0.00493,0.00479,0.004872,0.004872,231490
2014-10-15,0.004872,0.004881,0.004790999999999999,0.0048270000000000006,0.0048270000000000006,235627
2014-10-16,0.004825,0.004858,0.004776,0.004855,0.004855,119623
2014-10-17,0.004855,0.00491,0.004824,0.004904,0.004904,245692
2014-10-18,0.004904,0.004985,0.0048920000000000005,0.004965,0.004965,69145
2014-10-19,0.004964,0.004989,0.004922999999999999,0.004949,0.004949,55747
2014-10-20,0.004945000000000001,0.005083,0.004921,0.005072999999999999,0.005072999999999999,295888
2014-10-21,0.005072,0.005215999999999999,0.005069,0.005193,0.005193,146796
2014-10-22,0.00519,0.005220000000000001,0.005176,0.005187,0.005187,107561
2014-10-23,0.005185,0.005243,0.0051340000000000005,0.005142,0.005142,378216
2014-10-24,0.005143,0.005154,0.005071,0.005082,0.005082,282070
2014-10-25,0.005083,0.005087,0.004712,0.004719,0.004719,272566
2014-10-26,0.00472,0.004721,0.004525,0.004548,0.004548,440679
2014-10-27,0.004546,0.00492,0.004534000000000001,0.004891,0.004891,299518
2014-10-28,0.00489,0.004894,0.004616,0.004845,0.004845,272894
2014-10-29,0.00484,0.004848,0.004746,0.004776,0.004776,346606
2014-10-30,0.0047740000000000005,0.00491,0.004769,0.00489,0.00489,220063
2014-10-31,0.004887,0.004904,0.004849,0.004867,0.004867,151046
2014-11-01,0.004865,0.004879,0.004636,0.004671,0.004671,190204
2014-11-02,0.004674,0.004723,0.004638000000000001,0.004664,0.004664,119913
2014-11-03,0.004658,0.004811,0.004652,0.00481,0.00481,212517
2014-11-04,0.004809000000000001,0.0048590000000000005,0.00478,0.004804999999999999,0.004804999999999999,276134
2014-11-05,0.004806,0.004872,0.004806,0.004861,0.004861,309820
2014-11-06,0.004861,0.004898,0.004834000000000001,0.004877,0.004877,416386
2014-11-07,0.004878,0.004895,0.004854,0.004877,0.004877,434075
2014-11-08,0.004877,0.004914,0.004877,0.004907,0.004907,143181
2014-11-09,0.004904,0.004941,0.00488,0.004926,0.004926,240824
2014-11-10,0.00492,0.004956,0.004886,0.004901,0.004901,545390
2014-11-11,0.004896,0.004906000000000001,0.004873,0.004899000000000001,0.004899000000000001,781614
2014-11-12,0.004897,0.005209,0.004897,0.005097,0.005097,447173
2014-11-13,0.005128,0.005297,0.00491,0.005035,0.005035,486595
2014-11-14,0.005022,0.005197,0.004896,0.005197,0.005197,300910
2014-11-15,0.0052060000000000006,0.005229,0.005016,0.005052,0.005052,116803
2014-11-16,0.005039,0.005205,0.005039,0.005181,0.005181,78345
2014-11-17,0.005181,0.005378,0.005181,0.00534,0.00534,431359
2014-11-18,0.005337,0.005449,0.005337,0.005432,0.005432,454544
2014-11-19,0.005424,0.005696,0.005424,0.005696,0.005696,434916
2014-11-20,0.005693,0.006096,0.005692,0.006058,0.006058,932564
2014-11-21,0.006072,0.006603,0.006037,0.006589,0.006589,720035
2014-11-22,0.006591,0.007759999999999999,0.006591,0.007663,0.007663,1123560
2014-11-23,0.007669,0.008773,0.007669,0.008598999999999999,0.008598999999999999,1288050
2014-11-24,0.008595,0.008791,0.008362,0.008562,0.008562,836154
2014-11-25,0.008561,0.009841,0.008561,0.00974,0.00974,2617990
2014-11-26,0.009742,0.011014,0.009695,0.011004,0.011004,2382860
2014-11-27,0.011004,0.014205,0.011004,0.014205,0.014205,5355350
2014-11-28,0.014200999999999997,0.015297,0.013757,0.015165,0.015165,2815520
2014-11-29,0.01516,0.01516,0.013982,0.013982,0.013982,1878500
2014-11-30,0.013977000000000002,0.013977000000000002,0.011182,0.011211,0.011211,2857340
2014-12-01,0.011204,0.012572,0.008105,0.012559,0.012559,3453750
2014-12-02,0.012586,0.013307,0.012568,0.013158,0.013158,2206040
2014-12-03,0.013164,0.013185,0.012918,0.01313,0.01313,1063000
2014-12-04,0.013137,0.013348,0.013137,0.013343,0.013343,2363160
2014-12-05,0.013336,0.013798,0.013311000000000002,0.013785,0.013785,1281290
2014-12-06,0.013771,0.014412,0.013726,0.014406,0.014406,1402450
2014-12-07,0.014406,0.014794,0.014388,0.014794,0.014794,935386
2014-12-08,0.014793,0.015188,0.01319,0.013421,0.013421,2568380
2014-12-09,0.013418,0.015071,0.013268,0.015068000000000003,0.015068000000000003,1621600
2014-12-10,0.015071,0.015933000000000003,0.015015,0.015907,0.015907,1116220
2014-12-11,0.015885,0.016374,0.015805,0.016374,0.016374,1620910
2014-12-12,0.016374,0.016374,0.016374,0.016374,0.016374,1620910
2014-12-13,0.016374,0.017182,0.016374,0.016992,0.016992,1210950
2014-12-14,0.016991,0.017218,0.016977000000000003,0.017127,0.017127,431814
2014-12-15,0.017115000000000002,0.018242,0.017096,0.018242,0.018242,2633740
2014-12-16,0.018246,0.021681,0.018207,0.021539,0.021539,6249780
2014-12-17,0.021553,0.026065,0.021512,0.026065,0.026065,5981140
2014-12-18,0.026026,0.028014,0.025511,0.02794,0.02794,4016710
2014-12-19,0.027975,0.028034,0.023338,0.023338,0.023338,6254590
2014-12-20,0.023352,0.024207,0.022644,0.024207,0.024207,3224770
2014-12-21,0.024225,0.025171,0.024183,0.024921,0.024921,1523180
2014-12-22,0.02487,0.025718,0.024868,0.025562,0.025562,2150370
2014-12-23,0.025556,0.025611,0.023878,0.023878,0.023878,2778770
2014-12-24,0.023838,0.023852,0.02316,0.023382,0.023382,1428390
2014-12-25,0.023388,0.024138,0.023387,0.024138,0.024138,1234800
2014-12-26,0.024146,0.025394,0.024146,0.025308,0.025308,2011780
2014-12-27,0.025299,0.025335,0.024067,0.024074,0.024074,837992
2014-12-28,0.024078,0.02418,0.023611,0.023764,0.023764,1005650
2014-12-29,0.023778,0.024294,0.023774,0.024231,0.024231,1145800
2014-12-30,0.024229,0.024278,0.02404,0.0242,0.0242,795505
2014-12-31,0.024194,0.024438,0.024152,0.024438,0.024438,640940
2015-01-01,0.024455,0.024455,0.024205,0.02439,0.02439,399022
2015-01-02,0.024377,0.024423,0.024309,0.024318,0.024318,459956
2015-01-03,0.024297,0.024317,0.022106,0.022106,0.022106,2171040
2015-01-04,0.0221,0.022142,0.018828,0.018928,0.018928,3801010
2015-01-05,0.018943,0.020316,0.01889,0.020316,0.020316,3051930
2015-01-06,0.020325,0.020745,0.020282,0.020732,0.020732,1752160
2015-01-07,0.020727,0.020899,0.020492,0.020843,0.020843,787462
2015-01-08,0.020843,0.020917,0.020668,0.020676,0.020676,823446
2015-01-09,0.02065,0.020665,0.020512,0.020576,0.020576,1092300
2015-01-10,0.020623,0.020623,0.01923,0.019233,0.019233,1550330
2015-01-11,0.019244,0.019288,0.018755,0.018765,0.018765,558120
2015-01-12,0.018782,0.018853,0.018434,0.018434,0.018434,560642
2015-01-13,0.018428,0.020769,0.015599000000000003,0.015648,0.015648,3113440
2015-01-14,0.015611000000000003,0.022335,0.014113,0.014233,0.014233,1886420
2015-01-15,0.014204,0.016536000000000002,0.014204,0.016444,0.016444,2285810
2015-01-16,0.016449000000000002,0.017093999999999998,0.016361,0.016403,0.016403,1651550
2015-01-17,0.016393,0.016401,0.015361,0.015361,0.015361,737736
2015-01-18,0.015386000000000004,0.015806,0.015092,0.015622,0.015622,1170730
2015-01-19,0.015657,0.016017,0.015650999999999998,0.015991,0.015991,1093540
