Date,Open,High,Low,Close,Adj_Close,Volume,VWAP,SMA_14,SMA_21,SMA_5,SMA_12,SMA_26,SMA_13,SMA_30,SMA_20,SMA_50,SMA_100,SMA_200,EMA_14,EMA_21,EMA_5,EMA_12,EMA_26,EMA_13,EMA_30,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,RSI_21,RSI_100,RSI_200,MACD_12_26_9,MACDH_12_26_9,MACDS_12_26_9,BBL_20,BBM_20,BBU_20,MOM,STOCHF_14,STOCHF_3,STOCH_5,STOCH_3,CMO,DPO,UO,lag_1
2014-09-17,0.005123,0.005803,0.005123,0.005399,0.005399,1281960,0.005441666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026400000000000035,0.0,0.0
2014-09-18,0.005398,0.005521,0.005091,0.005135,0.005135,491147,0.005388298395415505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019300000000000046,0.0,0.005399
2014-09-19,0.0051340000000000005,0.005167000000000001,0.004873,0.004942,0.004942,407109,0.005314671550433535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017,0.0,0.005135
2014-09-20,0.004942,0.004954,0.004736,0.004772,0.004772,322621,0.005250993272700805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002020000000000008,0.0,0.004942
2014-09-21,0.004768,0.004790999999999999,0.00454,0.00457,0.00457,309571,0.005183042102473515,0.0,0.0,0.0049636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3752969121140546,0.0,0.0,0.0,0.0,-8.699999999999854e-05,0.0,0.004772
2014-09-22,0.004561,0.0046700000000000005,0.0045320000000000004,0.004657,0.004657,267342,0.005134137510945152,0.0,0.0,0.0048152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.426424086786508,1.6038587514394331,0.331244914960156,0.16520358356114814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.639029322547959,0.0,0.0,0.0,0.0,4.4000000000000636e-05,0.0,0.00457
2014-09-23,0.004654999999999999,0.004656,0.004547,0.004613,0.004613,323106,0.0050839268048172865,0.0,0.0,0.004710799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.394935213208262,1.590344433830316,0.3306853905653107,0.16506498015810836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.755905511810939,9.256743915490985,0.0,0.0,0.0,-5.4999999999999494e-05,0.0,0.004657
2014-09-24,0.00461,0.004668,0.004511,0.004668,0.004668,349329,0.0050403317140101924,0.0,0.0,0.004655999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004741733333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.062384269350739,2.664366641493378,0.5427838392274134,0.2701777666846359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.440180586907466,20.27837180708879,0.0,0.0,0.0,-5.3999999999998494e-05,0.0,0.004613
2014-09-25,0.0046700000000000005,0.00485,0.004642,0.004722,0.004722,745348,0.004990228170940233,0.0,0.0,0.004645999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004735155555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.756051125939375,3.744889116484604,0.7522188437738085,0.37367869287532174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.24188790560456,36.81265800144099,25.090460047796995,0.0,0.0,0.00010600000000000019,0.0,0.004668
2014-09-26,0.004722,0.004734,0.0045579999999999996,0.0046159999999999994,0.0046159999999999994,497323,0.004954958722400272,0.0,0.0,0.004655199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004695437037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.549985183177392,3.6613069588411795,0.7490914591529407,0.37291519569245096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9734513274334,42.88517327331514,30.81009093086086,0.0,0.0,-8.900000000000054e-05,0.0,0.004722
2014-09-27,0.004607,0.004717,0.004575,0.004705,0.004705,221573,0.004942670755159644,0.0,0.0,0.0046647999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004698624691358025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496881380520561,5.516202606412584,1.0977887748511608,0.5443853791745483,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006940000000000002,57.22713864306778,50.14749262536858,39.72771279496482,31.876087924540894,0.0,-0.0005769999999999994,0.0,0.0046159999999999994
2014-09-28,0.004706,0.005345,0.00465,0.005282,0.005282,464102,0.004954898256753344,0.0,0.0,0.004798599999999998,0.004840083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004893083127572017,0.004840083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.795650164765647,16.442952672952693,3.321864448203439,1.647318712604967,0.0,0.0,0.0,0.0,0.0,0.0,0.00014700000000000043,92.44604316546767,60.21554437865628,55.66574032569616,42.06784801717395,0.0,0.0005770000000000011,0.0,0.004705
2014-09-29,0.005279,0.005442,0.004658,0.004705,0.004705,122073,0.004954479644713535,0.0,0.0,0.0048059999999999995,0.004782249999999999,0.0,0.004829692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004830388751714678,0.004819301282051282,0.0,0.004829692307692307,0.0,0.0,0.0,0.0,0.0,20.821885219149426,14.66609898658993,3.2480921564904897,1.6291614595572925,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023700000000000023,16.628959276018143,55.43404702818453,51.9034960635183,49.09898306139309,0.0,6.100000000000029e-05,0.0,0.005282
2014-09-30,0.004705,0.004707,0.004635,0.004644,0.004644,109352,0.004949069720467022,0.0048164285714285705,0.0,0.0047903999999999985,0.004741333333333333,0.0,0.004771615384615384,0.0,0.0,0.0,0.0,0.0,0.0048164285714285705,0.0,0.0047682591678097856,0.004792331854043393,0.0,0.004803164835164835,0.0,0.0,0.0,0.0,0.0,20.45064843488418,14.492647905890514,3.240408171947182,1.6272557863745334,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001280000000000005,9.72850678733033,39.601169742938716,41.40081983986345,49.65668540969264,0.0,-0.00010800000000000046,0.0,0.004705
2014-10-01,0.004645000000000001,0.004772,0.004644,0.004752,0.004752,64998,0.004946607639331561,0.004770214285714286,0.0,0.004817599999999999,0.0047255,0.0,0.004742153846153846,0.0,0.0,0.0,0.0,0.0,0.004807838095238094,0.0,0.004762839445206524,0.004786126953421332,0.0,0.00479585557299843,0.0,0.0,0.0,0.0,0.0,23.053080119820855,16.32808462387844,3.648008130588763,1.831578235709633,0.0,0.0,0.0,0.0,0.0,0.0,0.00018199999999999987,20.415224913494825,15.590896992281102,39.28917455707574,44.19783015348583,-25.009663703131036,-0.00012199999999999885,0.0,0.004644
2014-10-02,0.004755,0.004876,0.004753,0.004874,0.004874,209158,0.004942811544256985,0.004751571428571429,0.0,0.004851399999999999,0.0047339999999999995,0.0,0.004736923076923077,0.0,0.0,0.0,0.0,0.0,0.004816659682539682,0.0,0.004799892963471016,0.004799645883664204,0.0,0.004807019062570083,0.0,0.0,0.0,0.0,0.0,25.98376408332017,18.40090077311566,4.108875504314284,2.062514632443,0.0,0.0,0.0,0.0,0.0,0.0,0.00021700000000000018,29.615861214374195,19.91986430506645,33.76691907133703,38.152304489425404,-10.674846625766868,-0.00014899999999999983,0.0,0.004752
2014-10-03,0.004876,0.00505,0.004875,0.005023,0.005023,264083,0.004944443287218448,0.004757357142857142,0.0,0.0047995999999999985,0.00477175,0.0,0.004756230769230769,0.0,0.0,0.0,0.0,0.0,0.004844171724867724,0.0,0.004874261975647344,0.004834008055408173,0.0,0.004837873482202928,0.0,0.0,0.0,0.0,0.0,29.497521641995405,20.90784294831501,4.671328995651553,2.3444891304205995,0.0,0.0,0.0,0.0,0.0,0.0,0.0004099999999999998,48.07930607187109,32.70346406658004,24.89357165261771,32.649888427010154,3.3735943356934386,8.199999999999874e-05,0.0,0.004874
