Date,Open,High,Low,Close,Adj_Close,Volume,VWAP,SMA_14,SMA_21,SMA_5,SMA_12,SMA_26,SMA_13,SMA_30,SMA_20,SMA_50,SMA_100,SMA_200,EMA_14,EMA_21,EMA_5,EMA_12,EMA_26,EMA_13,EMA_30,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,RSI_21,RSI_100,RSI_200,MACD_12_26_9,MACDH_12_26_9,MACDS_12_26_9,BBL_20,BBM_20,BBU_20,MOM,STOCHF_14,STOCHF_3,STOCH_5,STOCH_3,CMO,DPO,UO,lag_1
2014-09-17,0.019671,0.020528,0.019589,0.02025,0.02025,11296,0.020122333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015179999999999985,0.0,0.0
2014-09-18,0.020229,0.020229,0.018366999999999998,0.018732,0.018732,3422,0.019886806359559726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007090000000000013,0.0,0.02025
2014-09-19,0.018716999999999998,0.01891,0.017192,0.018022999999999997,0.018022999999999997,15412,0.018942986480805397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013900000000000023,0.0,0.018732
2014-09-20,0.018017,0.019083000000000003,0.017758000000000003,0.018162,0.018162,3899,0.018873247769059725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6735823272673402,0.4448744153567618,0.09196892303336657,0.045884578352357035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001113999999999997,0.0,0.018022999999999997
2014-09-21,0.018126,0.019349,0.017718,0.019275999999999998,0.019275999999999998,8401,0.018854983015162228,0.0,0.0,0.0188886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.104451031325881,4.02954109054196,0.8302337110601041,0.4139303140010028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.470023980815284,0.0,0.0,0.0,0.0,-0.0008510000000000045,0.0,0.018162
2014-09-22,0.019288999999999997,0.020241,0.01847,0.020127000000000003,0.020127000000000003,10191,0.019001722037462865,0.0,0.0,0.018864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.126468308710521,6.7175629308359275,1.3924297165762904,0.6946572952565171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.26106920301751,0.0,0.0,0.0,0.0,-0.0014819999999999972,0.0,0.019275999999999998
2014-09-23,0.020125,0.022211,0.018926,0.021609,0.021609,18652,0.019502510244646172,0.0,0.0,0.019439400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.777961386835702,11.252521004656494,2.3659606168707032,1.1821919422452698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.00557880055786,82.24555732813022,0.0,0.0,0.0,0.0005459999999999979,0.0,0.020127000000000003
2014-09-24,0.021606999999999998,0.022012999999999998,0.020985,0.021063,0.021063,10558,0.019741350164770483,0.0,0.0,0.0200474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.301718622470922,11.04526957384168,2.35730056971245,1.1800468665265362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.44914311150673,86.2385970383607,0.0,0.0,0.0,0.0004559999999999981,0.0,0.021609
2014-09-25,0.02106,0.021398,0.020148,0.020607,0.020607,6160,0.019809699310156723,0.0,0.0,0.020536400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020469933333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.89791991169425,10.870100731464804,2.350044817144907,1.178252417058459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.30002225684396,75.5849147229695,77.09716747054827,0.0,0.0,0.0003060000000000007,0.0,0.021063
2014-09-26,0.0206,0.021425,0.020113,0.020301,0.020301,17646,0.019943885665060536,0.0,0.0,0.0207414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020413622222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.619740391365596,10.750244982184942,2.3451524781089477,1.177045304406804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.94413258487032,62.564432651073645,74.39198919135927,0.0,0.0,0.0011349999999999971,0.0,0.020607
2014-09-27,0.020257,0.020527,0.01914,0.019166,0.019166,1920,0.019937943323075205,0.0,0.0,0.0205492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999774814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.604193270495461,10.308571221075294,2.3270042849546586,1.172567266912453,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010840000000000016,7.305936073059373,40.18336363825786,56.60096256536765,69.36337307575839,0.0,0.00047499999999999626,0.0,0.020301
2014-09-28,0.019163999999999997,0.019287000000000002,0.01855,0.018691,0.018691,2697,0.01991115099678923,0.0,0.0,0.0199656,0.019667249999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019562165432098766,0.019667249999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.190494001243199,10.12616923874722,2.3194174549897695,1.17069399101415,0.0,0.0,0.0,0.0,0.0,0.0,-4.099999999999937e-05,4.071614207334648,20.107227621754756,39.814169646723016,56.935707134483316,0.0,-0.0012060000000000057,0.0,0.019166
2014-09-29,0.018678,0.020342,0.018040999999999998,0.019897,0.019897,40420,0.0197811826105809,0.0,0.0,0.0197324,0.01963783333333333,0.0,0.019684923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019673776954732512,0.01970259615384615,0.0,0.019684923076923076,0.0,0.0,0.0,0.0,0.0,20.329809590700993,14.165860901229514,3.129315976533913,1.571932582432259,0.0,0.0,0.0,0.0,0.0,0.0,0.0018740000000000041,54.8463356973996,22.074628659264516,35.89360816390159,44.102913458664084,0.0,-0.00030300000000000465,0.0,0.018691
