Date,Open,High,Low,Close,Adj_Close,Volume,VWAP,SMA_14,SMA_21,SMA_5,SMA_12,SMA_26,SMA_13,SMA_30,SMA_20,SMA_50,SMA_100,SMA_200,EMA_14,EMA_21,EMA_5,EMA_12,EMA_26,EMA_13,EMA_30,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,RSI_21,RSI_100,RSI_200,MACD_12_26_9,MACDH_12_26_9,MACDS_12_26_9,BBL_20,BBM_20,BBU_20,MOM,STOCHF_14,STOCHF_3,STOCH_5,STOCH_3,CMO,DPO,UO,lag_1
2014-09-17,0.00010700000000000001,0.00011,9e-05,9.8e-05,9.8e-05,2031,9.933333333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0000000000000075e-06,0.0,0.0
2014-09-18,9.8e-05,0.000103,8.8e-05,9.1e-05,9.1e-05,1248,9.730344617261358e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999972e-07,0.0,9.8e-05
2014-09-19,9.1e-05,9.4e-05,8.499999999999999e-05,9e-05,9e-05,2330,9.413109882926249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1e-05
2014-09-20,9e-05,9.4e-05,8.4e-05,9e-05,9e-05,1886,9.292381587725149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.000000000000005e-06,0.0,9e-05
2014-09-21,9e-05,9.1e-05,7.8e-05,8.2e-05,8.2e-05,2705,9.046885620915032e-05,0.0,0.0,9.02e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.500000000000005,0.0,0.0,0.0,0.0,2.9999999999999916e-06,0.0,9e-05
2014-09-22,8.2e-05,8.7e-05,7.900000000000001e-05,7.900000000000001e-05,7.900000000000001e-05,1177,8.95582315197328e-05,0.0,0.0,8.64e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.646666666666666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0000000000000435,0.0,0.0,0.0,0.0,-8.000000000000005e-06,0.0,8.2e-05
2014-09-23,7.900000000000001e-05,8.7e-05,7.3e-05,8.7e-05,8.7e-05,1520,8.870672766276396e-05,0.0,0.0,8.56e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.664444444444444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61201165109487,5.672811510196933,1.155301577933808,0.5746166890666724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666669,27.722222222222246,0.0,0.0,0.0,9.999999999999972e-06,0.0,7.900000000000001e-05
2014-09-24,8.7e-05,8.7e-05,7.6e-05,7.7e-05,7.7e-05,1320,8.789833767086352e-05,0.0,0.0,8.299999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.342962962962963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.721426615684003,5.280537206954126,1.138692963985615,0.5704984761267116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.04761904761906,29.904761904761937,0.0,0.0,0.0,-7.0000000000000075e-06,0.0,8.7e-05
2014-09-25,7.7e-05,8.8e-05,7.6e-05,8.4e-05,8.4e-05,2520,8.711063312819901e-05,0.0,0.0,8.179999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.361975308641975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.36331957506696,9.851938276928763,2.1333926277244655,1.069297686620391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111111111108,48.94179894179894,32.66507936507938,0.0,0.0,-9.999999999999972e-07,0.0,7.7e-05
2014-09-26,8.4e-05,8.9e-05,8.1e-05,8.499999999999999e-05,8.499999999999999e-05,1938,8.68916019634092e-05,0.0,0.0,8.239999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.40798353909465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.29648282701487,10.498405067809221,2.2752635737574143,1.1405004624008215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.99999999999997,51.71957671957671,45.16507936507937,0.0,0.0,9.999999999999972e-07,0.0,8.4e-05
