cluster_id,cryptos
0,"['BTC', 'ETH', 'XMR', 'DASH', 'LTC', 'BTS', 'DGB', 'VTC', 'IOC', 'NAV', 'SYS']"
1,['DOGE']
2,"['MAID', 'XLM', 'XRP', 'MONA']"
3,['XCP']
