,Open,High,Low,Close,Adj_Close,Volume,VWAP,SMA_14,SMA_21,SMA_5,SMA_12,SMA_26,SMA_13,SMA_30,SMA_20,SMA_50,SMA_100,SMA_200,EMA_14,EMA_21,EMA_5,EMA_12,EMA_26,EMA_13,EMA_30,EMA_20,EMA_50,EMA_100,EMA_200,MACD_12_26_9,MACDH_12_26_9,MACDS_12_26_9,BBL_20,BBM_20,BBU_20,RSI,MOM,CMO,DPO,UO,lag_1,lag_7
count,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0,1925.0
mean,0.09919003228731536,0.09469460492099387,0.11088940146770976,0.09940883554647602,0.09940883554647602,0.05144651959372277,0.3683080300166114,0.13699642976020643,0.15091604065145725,0.11540603361381928,0.13156551125440744,0.15937362110837755,0.1343663213626203,0.16515130043392098,0.14978805294841405,0.1924182689251363,0.23914126040578246,0.29230439391494195,0.14040648510916515,0.1520906825657256,0.12086872952921147,0.13728067956882398,0.16104426017762638,0.13880672467802216,0.16848456161543915,0.15037271704413238,0.2046625557906646,0.2677179937873174,0.3286102601611231,0.0026608541544599867,-0.00010332244989599022,0.0032364649842015814,0.2076339607176787,0.14978805294841405,0.12328436211689348,0.5085503949936016,0.000961149020471054,-0.04532606777542521,-0.00028755429085044977,0.562027181357977,0.0993566990125979,0.09903251009290336
std,0.116088037646974,0.11290366623108745,0.12705788881313004,0.1162758662278395,0.1162758662278395,0.09228042426315243,0.3718422528861805,0.15791623039840968,0.1727048353104127,0.13430046539590734,0.15196697083046257,0.18136288739985815,0.15504214981284123,0.1870387386903872,0.17159649323962312,0.21311571223221526,0.25494710650135005,0.30603810678243726,0.160105930788888,0.17124661678806824,0.14016926553947714,0.15711772061946389,0.1797891458232694,0.15857245333309472,0.18689135194459885,0.16961130347071524,0.22102383442701062,0.27892494283786007,0.33694093164744143,0.11654081365273199,0.10161927556762819,0.13056271166998693,0.220216237347672,0.17159649323962312,0.15639686930202681,0.1307881342372932,0.08874805245040679,0.3504362744093917,0.0771988670460411,0.12409167541497838,0.11628972075204913,0.11637449132588558
min,0.005083260297984224,0.004740851222500399,0.005831103793647528,0.005091292134831461,0.005091292134831461,5.792826805096744e-05,0.0329726619250035,0.0,0.0,0.0060393373051497575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006408940964571896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.504216915715375,-1.0,-0.5227930069870812,-0.016589395826738094,0.0,0.0,0.21005092223243044,-1.0,-1.0,-0.8883031301482736,0.0,0.005091292134831461,0.005091292134831461
25%,0.012386795208881096,0.011612422095562777,0.014269053989161009,0.012464887640449441,0.012464887640449441,0.0005372227465785747,0.035597527294491275,0.017520519657803227,0.019349700149925004,0.014595065154111913,0.016798559753396617,0.020456001397705436,0.01716767030255649,0.02112000523825889,0.019212594232672048,0.024518918021139452,0.028686675767038268,0.030329854378481087,0.017993389952074,0.019579490414224663,0.015290448568559309,0.017599133136317845,0.020735740884070125,0.01778175984983861,0.021552146451653133,0.0193387103969791,0.02619710336045185,0.03413258727197591,0.03731974127004442,-0.015461193235326362,-0.0034150025847042745,-0.01877156679467831,0.032301014623200286,0.019212594232672048,0.013320444595684251,0.4218208325198911,-0.006144067796610158,-0.2962584338581063,-0.00362438220757801,0.4920790015452213,0.012464887640449441,0.012464887640449441
50%,0.05065731814198072,0.05135034357854365,0.056801811072237085,0.052083333333333336,0.052083333333333336,0.008764192321572328,0.08361060654952758,0.07636378359931277,0.07882990323020299,0.06014853505264022,0.07289953243792817,0.07561076815561123,0.07444209652005031,0.07376123360997887,0.07980547802975506,0.06907926607028342,0.05964502692030529,0.05861298922217175,0.08584625195178157,0.08532578212625662,0.06884924012420485,0.08257844852034349,0.08457293298678932,0.08458938546917011,0.08434172221003175,0.08556122771442805,0.08467379971370784,0.08374911675449008,0.0812325923210346,-0.0008073591450228499,0.00021362530693893876,-0.0009259056399072373,0.053833410617547324,0.07980547802975506,0.06627473625368464,0.4906610263196589,-0.00042372881355928635,-0.06401266064558166,0.00032948929159606704,0.5671131512523572,0.0507373595505618,0.04517790262172285
75%,0.1558282208588957,0.14664677994992806,0.17774576387459698,0.15613295880149813,0.15613295880149813,0.06266588360214308,0.7497752750746732,0.21620980663223094,0.2400035777565764,0.18060883049049156,0.20759885505575726,0.2558201327820168,0.21180788821165514,0.26704971435119274,0.23768596948170484,0.3207320842810415,0.41400002343443343,0.5294053179112778,0.221694883072712,0.24302395494819184,0.18957279872058716,0.21567347763266867,0.2585354879258983,0.21894325606245266,0.2710989437259423,0.2400734553467556,0.3316029593302407,0.4590380233638008,0.6050088949061114,0.004246556698464783,0.005869255644301645,0.00543410585686972,0.3664401169344784,0.23768596948170484,0.18373528703874414,0.5813230916610108,0.0030720338983050845,0.1839019189765456,0.004283360790774431,0.632163729271328,0.15613295880149813,0.15613295880149813
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6810343445060971,1.0,1.0,1.0,1.0,1.0,0.9112288135593218,0.9811436462382116,1.0,1.0,1.0,1.0
