cluster_id,cryptos
0,"['BTC', 'ETH', 'SYS', 'LTC', 'XMR', 'DASH', 'NAV']"
1,"['BTS', 'DGB', 'DOGE', 'XRP', 'XLM']"
2,"['IOC', 'MAID', 'XCP', 'MONA', 'VTC']"
